id,permalink,company,numEmps,category,city,state,fundedDate,raisedAmt,raisedCurrency,round
1,lifelock,LifeLock,,web,Tempe,AZ,1-May-07,6850000,USD,b
2,lifelock,LifeLock,,web,Tempe,AZ,1-Oct-06,6000000,USD,a
3,lifelock,LifeLock,,web,Tempe,AZ,1-Jan-08,25000000,USD,c
4,mycityfaces,MyCityFaces,7,web,Scottsdale,AZ,1-Jan-08,50000,USD,seed
5,flypaper,Flypaper,,web,Phoenix,AZ,1-Feb-08,3000000,USD,a
6,infusionsoft,Infusionsoft,105,software,Gilbert,AZ,1-Oct-07,9000000,USD,a
7,gauto,gAuto,4,web,Scottsdale,AZ,1-Jan-08,250000,USD,seed
8,chosenlist-com,ChosenList.com,5,web,Scottsdale,AZ,1-Oct-06,140000,USD,seed
9,chosenlist-com,ChosenList.com,5,web,Scottsdale,AZ,25-Jan-08,233750,USD,angel
10,digg,Digg,60,web,San Francisco,CA,1-Dec-06,8500000,USD,b
